X,Y,Z
1.765331108125525628e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.729667853415919110e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.694004598706312370e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.658341343996705852e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.622678089287099334e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.587014834577492817e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.551351579867886077e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.515688325158279559e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.480025070448673041e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.444361815739066301e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.408698561029459784e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.373035306319853266e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.337372051610246526e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.301708796900640008e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.266045542191033491e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.230382287481426973e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.194719032771820455e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.159055778062213715e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.123392523352607197e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.087729268643000680e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.052066013933393940e+00,9.500255282415541558e+01,-1.800000000000000000e+02
1.016402759223787422e+00,9.500255282415541558e+01,-1.800000000000000000e+02
9.807395045141809042e-01,9.500255282415541558e+01,-1.800000000000000000e+02
9.450762498045742754e-01,9.500255282415541558e+01,-1.800000000000000000e+02
9.094129950949676466e-01,9.500255282415541558e+01,-1.800000000000000000e+02
8.737497403853611289e-01,9.500255282415541558e+01,-1.800000000000000000e+02
8.380864856757545001e-01,9.500255282415541558e+01,-1.800000000000000000e+02
8.024232309661479823e-01,9.500255282415541558e+01,-1.800000000000000000e+02
7.667599762565413535e-01,9.500255282415541558e+01,-1.800000000000000000e+02
7.310967215469348357e-01,9.500255282415541558e+01,-1.800000000000000000e+02
6.954334668373283179e-01,9.500255282415541558e+01,-1.800000000000000000e+02
6.597702121277215781e-01,9.500255282415541558e+01,-1.800000000000000000e+02
6.241069574181150603e-01,9.500255282415541558e+01,-1.800000000000000000e+02
5.884437027085085425e-01,9.500255282415541558e+01,-1.800000000000000000e+02
5.527804479989018027e-01,9.500255282415541558e+01,-1.800000000000000000e+02
5.171171932892952849e-01,9.500255282415541558e+01,-1.800000000000000000e+02
4.814539385796887672e-01,9.500255282415541558e+01,-1.800000000000000000e+02
4.457906838700822494e-01,9.500255282415541558e+01,-1.800000000000000000e+02
4.101274291604755096e-01,9.500255282415541558e+01,-1.800000000000000000e+02
3.744641744508689918e-01,9.500255282415541558e+01,-1.800000000000000000e+02
3.388009197412624740e-01,9.500255282415541558e+01,-1.800000000000000000e+02
3.031376650316557342e-01,9.500255282415541558e+01,-1.800000000000000000e+02
2.674744103220492164e-01,9.500255282415541558e+01,-1.800000000000000000e+02
2.318111556124426986e-01,9.500255282415541558e+01,-1.800000000000000000e+02
1.961479009028361808e-01,9.500255282415541558e+01,-1.800000000000000000e+02
1.604846461932294410e-01,9.500255282415541558e+01,-1.800000000000000000e+02
1.248213914836229232e-01,9.500255282415541558e+01,-1.800000000000000000e+02
8.915813677401640547e-02,9.500255282415541558e+01,-1.800000000000000000e+02
5.349488206440966565e-02,9.500255282415541558e+01,-1.800000000000000000e+02
1.783162735480314787e-02,9.500255282415541558e+01,-1.800000000000000000e+02
-1.783162735480336991e-02,9.500255282415541558e+01,-1.800000000000000000e+02
-5.349488206440988769e-02,9.500255282415541558e+01,-1.800000000000000000e+02
-8.915813677401662751e-02,9.500255282415541558e+01,-1.800000000000000000e+02
-1.248213914836231453e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-1.604846461932296631e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-1.961479009028361808e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-2.318111556124429207e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-2.674744103220496605e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-3.031376650316559562e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-3.388009197412626960e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-3.744641744508689918e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-4.101274291604757316e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-4.457906838700824714e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-4.814539385796887672e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-5.171171932892955070e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-5.527804479989022468e-01,9.500255282415541558e+01,-1.800000000000000000e+02
-5.884437027085085425e-01,9.500255282415541558e+01,-1.800000000000000000e+02
